,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
193,193,8.0,0.68404686,"[(0, 0.11934628), (5, 0.13295081), (8, 0.68404686)]"
194,194,7.0,0.2932251,"[(1, 0.10216602), (4, 0.11557824), (6, 0.11916334), (7, 0.2932251), (8, 0.10479595), (9, 0.252946)]"
195,195,9.0,0.59092873,"[(4, 0.211132), (6, 0.1395878), (9, 0.59092873)]"
196,196,7.0,0.36733803,"[(0, 0.08762524), (6, 0.21489924), (7, 0.36733803), (8, 0.2948325)]"
197,197,8.0,0.42164633,"[(0, 0.29224563), (5, 0.11854505), (7, 0.14612785), (8, 0.42164633)]"
198,198,9.0,0.36865684,"[(0, 0.054480534), (1, 0.12168067), (3, 0.16940404), (6, 0.27225953), (9, 0.36865684)]"
199,199,6.0,0.33546883,"[(3, 0.064105615), (5, 0.2533366), (6, 0.33546883), (7, 0.20716311), (8, 0.12068419)]"
200,200,3.0,0.57903916,"[(3, 0.57903916), (5, 0.10955204), (6, 0.2914015)]"
201,201,9.0,0.34756494,"[(0, 0.2689869), (5, 0.08695348), (6, 0.09684377), (8, 0.18297419), (9, 0.34756494)]"
202,202,8.0,0.3318293,"[(0, 0.10912698), (4, 0.23151298), (8, 0.3318293), (9, 0.2975166)]"
203,203,2.0,0.349514,"[(2, 0.349514), (3, 0.28911084), (9, 0.33722395)]"
204,204,3.0,0.27916813,"[(3, 0.27916813), (4, 0.18581298), (6, 0.21902949), (7, 0.23098628), (8, 0.06416273)]"
205,205,6.0,0.35020256,"[(0, 0.21350102), (2, 0.2273339), (3, 0.07724572), (6, 0.35020256), (7, 0.12084311)]"
206,206,7.0,0.30741996,"[(0, 0.20277318), (1, 0.06123807), (6, 0.2883858), (7, 0.30741996), (9, 0.12502535)]"
207,207,6.0,0.31612247,"[(2, 0.052333195), (3, 0.22683014), (4, 0.092716865), (6, 0.31612247), (7, 0.060674444), (8, 0.08471498), (9, 0.1597857)]"
208,208,9.0,0.40040857,"[(0, 0.060814716), (2, 0.0904285), (3, 0.07801988), (4, 0.22607523), (6, 0.13494723), (9, 0.40040857)]"
209,209,9.0,0.3146381,"[(0, 0.05627046), (6, 0.14451943), (7, 0.27759728), (8, 0.18315868), (9, 0.3146381)]"
210,210,6.0,0.5781918,"[(1, 0.06458828), (6, 0.5781918), (7, 0.21195851), (9, 0.11916793)]"
211,211,4.0,0.51181537,"[(3, 0.45007893), (4, 0.51181537)]"
212,212,6.0,0.39585033,"[(2, 0.15026507), (6, 0.39585033), (7, 0.18010496), (9, 0.25154674)]"
213,213,3.0,0.7155906,"[(2, 0.15160869), (3, 0.7155906), (8, 0.10362677)]"
214,214,6.0,0.70038235,"[(0, 0.15219381), (2, 0.122412845), (6, 0.70038235)]"
215,215,3.0,0.40637445,"[(2, 0.19890752), (3, 0.40637445), (4, 0.04289376), (6, 0.15846254), (9, 0.17820464)]"
216,216,9.0,0.49661383,"[(2, 0.15916203), (6, 0.07561531), (7, 0.2479104), (9, 0.49661383)]"
217,217,9.0,0.6776055,"[(0, 0.061738726), (1, 0.09428772), (3, 0.14567164), (9, 0.6776055)]"
218,218,6.0,0.3812751,"[(0, 0.20924746), (2, 0.2597616), (6, 0.3812751), (9, 0.1290212)]"
219,219,6.0,0.5510038,"[(4, 0.117317475), (6, 0.5510038), (9, 0.30123192)]"
220,220,4.0,0.5620345,"[(2, 0.27580863), (4, 0.5620345), (7, 0.103798606)]"
221,221,6.0,0.50983465,"[(0, 0.12211911), (1, 0.14770466), (4, 0.0839485), (6, 0.50983465), (8, 0.11257595)]"
222,222,6.0,0.5172739,"[(1, 0.12801291), (4, 0.07922137), (6, 0.5172739), (9, 0.25148058)]"
223,223,8.0,0.44570062,"[(6, 0.26124743), (7, 0.13542607), (8, 0.4457006), (9, 0.114749625)]"
224,224,9.0,0.48632523,"[(3, 0.09902753), (7, 0.38282), (9, 0.48632526)]"
