,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
3852,3852,3.0,0.5075519,"[(0, 0.031550188), (1, 0.3496868), (2, 0.11121111), (3, 0.5075519)]"
3853,3853,1.0,0.8367342,"[(0, 0.11760824), (1, 0.8367342), (2, 0.022727735), (3, 0.022929877)]"
3854,3854,3.0,0.55775017,"[(0, 0.22988504), (1, 0.18076667), (2, 0.031598162), (3, 0.55775017)]"
3855,3855,1.0,0.7442283,"[(0, 0.17977838), (1, 0.7442283), (2, 0.0392336), (3, 0.036759693)]"
3856,3856,3.0,0.9056381,"[(0, 0.031252246), (1, 0.031611748), (2, 0.031497903), (3, 0.9056381)]"
3857,3857,3.0,0.5346669,"[(0, 0.20846917), (1, 0.03612396), (2, 0.22074), (3, 0.5346669)]"
3858,3858,1.0,0.70692164,"[(0, 0.021190139), (1, 0.70692164), (2, 0.019519439), (3, 0.25236875)]"
3859,3859,2.0,0.36000073,"[(0, 0.04230746), (1, 0.33312303), (2, 0.36000073), (3, 0.26456875)]"
3860,3860,3.0,0.89094245,"[(0, 0.03586117), (1, 0.037016228), (2, 0.036180083), (3, 0.8909425)]"
3861,3861,0.0,0.47468677,"[(0, 0.47468677), (1, 0.30848464), (2, 0.031258594), (3, 0.18557)]"
3862,3862,0.0,0.3749077,"[(0, 0.3749077), (1, 0.25308403), (2, 0.04223943), (3, 0.3297688)]"
3863,3863,1.0,0.5192168,"[(0, 0.12910977), (1, 0.5192168), (2, 0.10260285), (3, 0.24907063)]"
3864,3864,3.0,0.7344453,"[(0, 0.020514999), (1, 0.022776166), (2, 0.22226356), (3, 0.7344453)]"
3865,3865,0.0,0.4887463,"[(0, 0.4887463), (1, 0.34173986), (2, 0.028376272), (3, 0.1411376)]"
3866,3866,2.0,0.70337504,"[(0, 0.047230467), (1, 0.20772354), (2, 0.70337504), (3, 0.041670993)]"
3867,3867,1.0,0.47794518,"[(0, 0.16706847), (1, 0.4779452), (2, 0.3390713), (3, 0.015915008)]"
3868,3868,1.0,0.6454189,"[(0, 0.02297429), (1, 0.6454189), (2, 0.023601146), (3, 0.30800566)]"
3869,3869,0.0,0.9461542,"[(0, 0.94615424), (1, 0.017905137), (2, 0.017876443), (3, 0.01806416)]"
3870,3870,0.0,0.7379215,"[(0, 0.7379215), (1, 0.08419037), (2, 0.08612031), (3, 0.09176779)]"
3871,3871,0.0,0.9496566,"[(0, 0.94965655), (1, 0.016860716), (2, 0.016733386), (3, 0.016749341)]"
3872,3872,3.0,0.58762664,"[(0, 0.22617458), (1, 0.15452586), (2, 0.03167289), (3, 0.58762664)]"
3873,3873,3.0,0.4843545,"[(0, 0.44301605), (1, 0.03603816), (2, 0.036591295), (3, 0.4843545)]"
3874,3874,0.0,0.84891987,"[(0, 0.84891987), (1, 0.050393246), (2, 0.050685905), (3, 0.050000984)]"
3875,3875,0.0,0.89188987,"[(0, 0.89188987), (1, 0.03639598), (2, 0.03573236), (3, 0.035981823)]"
3876,3876,3.0,0.77501357,"[(0, 0.02587893), (1, 0.17390189), (2, 0.025205648), (3, 0.77501357)]"
3877,3877,2.0,0.624993,"[(0, 0.12500273), (1, 0.12500192), (2, 0.624993), (3, 0.12500235)]"
3878,3878,0.0,0.4787509,"[(0, 0.4787509), (1, 0.032834284), (2, 0.031750437), (3, 0.45666435)]"
3879,3879,0.0,0.9279015,"[(0, 0.9279015), (1, 0.010416971), (2, 0.051229928), (3, 0.010451622)]"
3880,3880,3.0,0.5420872,"[(0, 0.0342623), (1, 0.38971537), (2, 0.033935174), (3, 0.5420872)]"
3881,3881,2.0,0.8483736,"[(0, 0.05000069), (1, 0.05127684), (2, 0.8483736), (3, 0.0503489)]"
3882,3882,0.0,0.84776294,"[(0, 0.84776294), (1, 0.0514193), (2, 0.050816275), (3, 0.050001465)]"
3883,3883,2.0,0.61096954,"[(0, 0.033687726), (1, 0.033273283), (2, 0.61096954), (3, 0.3220695)]"
3884,3884,3.0,0.3214398,"[(0, 0.29988584), (1, 0.06621573), (2, 0.31245866), (3, 0.3214398)]"
3885,3885,1.0,0.91586477,"[(0, 0.02848494), (1, 0.9158648), (2, 0.027831847), (3, 0.027818363)]"
3886,3886,0.0,0.6077337,"[(0, 0.6077337), (1, 0.02279235), (2, 0.21115455), (3, 0.15831935)]"
3887,3887,3.0,0.6055611,"[(0, 0.029939331), (1, 0.029035099), (2, 0.33546442), (3, 0.6055611)]"
3888,3888,3.0,0.7066486,"[(0, 0.23701914), (1, 0.02829957), (2, 0.028032724), (3, 0.7066486)]"
3889,3889,1.0,0.7467707,"[(0, 0.08479606), (1, 0.7467707), (2, 0.08493975), (3, 0.08349346)]"
3890,3890,2.0,0.9153366,"[(0, 0.029014898), (1, 0.027858304), (2, 0.9153366), (3, 0.02779018)]"
3891,3891,2.0,0.7430401,"[(0, 0.08366198), (1, 0.08542695), (2, 0.7430401), (3, 0.087870985)]"
3892,3892,3.0,0.4560344,"[(0, 0.44059253), (1, 0.05087862), (2, 0.052494425), (3, 0.45603442)]"
3893,3893,0.0,0.9445755,"[(0, 0.9445755), (1, 0.018380407), (2, 0.018469745), (3, 0.018574363)]"
3894,3894,3.0,0.59121853,"[(0, 0.01698572), (1, 0.3742281), (2, 0.017567638), (3, 0.59121853)]"
3895,3895,1.0,0.47280282,"[(0, 0.0625058), (1, 0.47280282), (2, 0.06579544), (3, 0.39889592)]"
3896,3896,2.0,0.56173486,"[(0, 0.041669037), (1, 0.044281576), (2, 0.56173486), (3, 0.3523145)]"
3897,3897,2.0,0.5242065,"[(0, 0.06798952), (1, 0.3449475), (2, 0.5242065), (3, 0.06285652)]"
3898,3898,3.0,0.5390747,"[(0, 0.17692481), (1, 0.26474863), (2, 0.019251825), (3, 0.5390747)]"
3899,3899,2.0,0.7431083,"[(0, 0.08366183), (1, 0.08542526), (2, 0.7431083), (3, 0.08780467)]"
3900,3900,0.0,0.6930193,"[(0, 0.6930193), (1, 0.038741563), (2, 0.23169656), (3, 0.0365426)]"
3901,3901,1.0,0.88965285,"[(0, 0.036875837), (1, 0.8896528), (2, 0.037467774), (3, 0.03600357)]"
3902,3902,0.0,0.56674254,"[(0, 0.56674254), (1, 0.3743026), (2, 0.028130524), (3, 0.030824333)]"
3903,3903,3.0,0.54411423,"[(0, 0.3308795), (1, 0.06250308), (2, 0.06250318), (3, 0.54411423)]"
3904,3904,2.0,0.7996704,"[(0, 0.06349112), (1, 0.06826597), (2, 0.7996704), (3, 0.068572536)]"
3905,3905,2.0,0.84973127,"[(0, 0.050001163), (1, 0.050000954), (2, 0.84973127), (3, 0.0502666)]"
3906,3906,3.0,0.45726356,"[(0, 0.05060003), (1, 0.441022), (2, 0.051114388), (3, 0.45726356)]"
3907,3907,3.0,0.5103797,"[(0, 0.19939376), (1, 0.023289407), (2, 0.26693714), (3, 0.5103797)]"
3908,3908,0.0,0.46873033,"[(0, 0.46873033), (1, 0.06422125), (2, 0.40454516), (3, 0.06250328)]"
3909,3909,2.0,0.5503038,"[(0, 0.2791275), (1, 0.14764328), (2, 0.5503038), (3, 0.02292542)]"
3910,3910,1.0,0.61175394,"[(0, 0.03164212), (1, 0.61175394), (2, 0.031251557), (3, 0.32535237)]"
